epoch,accuracy,loss,val_accuracy,val_loss
0,0.36091890931129456,1.3264269828796387,0.4495677351951599,1.2763497829437256
1,0.6476612091064453,0.9950436949729919,0.6455331444740295,0.9372687935829163
2,0.7899252772331238,0.5914218425750732,0.6916426420211792,0.7858877778053284
3,0.8474951386451721,0.41961270570755005,0.6945244669914246,0.8008040189743042
4,0.8793246746063232,0.33073630928993225,0.6887608170509338,0.8237485885620117
5,0.9114309549331665,0.2647128403186798,0.6887608170509338,0.8510568737983704
6,0.9255466461181641,0.2220541089773178,0.6714697480201721,0.8927085399627686
7,0.9396623373031616,0.18319281935691833,0.6772334575653076,0.9342617988586426
8,0.952117383480072,0.15789024531841278,0.6945244669914246,1.0078812837600708
9,0.9593135714530945,0.13906410336494446,0.6858789920806885,1.020664095878601
10,0.9629117250442505,0.11708790063858032,0.6887608170509338,1.0935062170028687
11,0.9665098190307617,0.11145529896020889,0.6714697480201721,1.1596812009811401
12,0.9673401713371277,0.10121583938598633,0.6685879230499268,1.1781212091445923
13,0.9681705236434937,0.09899737685918808,0.651296854019165,1.228983759880066
14,0.973429262638092,0.08769240230321884,0.6628242135047913,1.3063055276870728
15,0.972875714302063,0.08475274592638016,0.6743515729904175,1.2984020709991455
16,0.9759202599525452,0.07608769834041595,0.6743515729904175,1.369614601135254
17,0.974259614944458,0.07825416326522827,0.6685879230499268,1.3720078468322754
18,0.976473867893219,0.07090005278587341,0.6743515729904175,1.3570700883865356
19,0.976473867893219,0.06609787046909332,0.6657060384750366,1.4561952352523804
20,0.9786880612373352,0.06792819499969482,0.6829971075057983,1.4875744581222534
21,0.9748131632804871,0.06806061416864395,0.6772334575653076,1.4673718214035034
22,0.975643515586853,0.06898409873247147,0.6657060384750366,1.5374863147735596
23,0.9775809645652771,0.06097746640443802,0.6657060384750366,1.537290334701538
24,0.976473867893219,0.0629458948969841,0.6685879230499268,1.5486327409744263
